"package","artifact_group","fragment_type","fragment_id","included","relative_path","source_path","bytes","sha256","notes"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/rdf.check.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/rdf.check.json","101","F5B2B2F0B4FC728967968E49FC5F0CC45F4FFD9B481DBB567B897AB6E2A0E7EE","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/rdf.emission.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/rdf.emission.json","209","097569E1141673C3D8E9E5C02639ECC1C6206D662A6BA2E73E414E163B6CB948","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/rdf.ttl","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/rdf.ttl","299198","A695F4410873B2FCE8827E1175B22AE26CD46FA97A9C31EDB4E2389B296B06AD","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/shacl.check.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/shacl.check.json","189","08E95D7D4C7BDC4F310806D6C6975ED8B89774EAB1E992F504A96E3F9B64B2B6","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/shacl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/shacl.emission.json","976","4BA83623F7A793056C0623E31A46E43853054B5D96E6C78C6D8DB8CF893CF74B","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_main_bridge/shacl_shapes.ttl","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_main_bridge/shacl_shapes.ttl","288598","2ADDC5CE9E2B602B5E1DE926938FA571060030990628CB2E228F43B7DDB79FDA","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.check.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.check.json","172","B179B6EA2EC6D5F3318DC723D2997F3996089779EF0EEE7DC5BADC98C0910DEF","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.emission.json","525","E5615FE93C7245D44289FD378EE1D3096E511C9D6B317EAD5D82CCF1A653286A","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.ttl","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/owl.ttl","16264","6913AEC8DD5E5FA78C97555960204A1CED62DCBF5989E5DC3D882591336209B7","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.check.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.check.json","100","D76FECD88F3430D5640B2683D03F4A7EFADB34F5793F63BFFCBFA28FFC17C34C","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.emission.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.emission.json","226","53138CD656630401C563DC39F78EF8C5890AF41B193D0E002C461D3611C5E6B4","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.ttl","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/rdf.ttl","22841","F0D292EF31B7645CF79BDF17AB39E5558BCCDED4D5385C77A9AA658FBD6238AE","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl.check.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl.check.json","188","DE60DD66D9C066CE50213184956295E736695C68469EC83485339370DCA7F0E6","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl.emission.json","548","28706C672C1E851217B5D7872FFA73A3CB1D2F868E843152F3C32EC66DE519A9","included public case-study artifact"
